Name,TotalDecRate,ApproDate,TotalReqRate
div5801885,0.0012735,19960715,0.0012735
div5801886,0.0012735,19960715,0.0012735
div5801887,0.0015565,19980711,0.0015565
div5801888,0.0283,19780501,0.0283
div5801889,0.0009339,19900801,0.0009339
div5801890,0.006226,19950615,0.006226
div5801894,0.000566,19980501,0.000566
div5801895,0.0015565,19981113,0.0015565
div5801897,0.0,19030512,0.0
div5801898,0.0,19030512,0.0
div5801899,0.0283,19911130,0.0283
div5801900,0.0009339,19880618,0.0009339
div5801901,0.0283,19760501,0.0283
div5801904,0.0283,19980709,0.0283
div5801909,0.0001981,19760615,0.0001981
div5801910,0.0001981,19760615,0.0001981
div5801912,0.0006226,19990607,0.0006226
div5801914,0.007075,19990610,0.007075
div5801918,0.000283,19961130,0.000283
div5801922,0.161876,18881029,0.161876
div5801924,0.0009339,19750701,0.0009339
div5801925,0.0003113,19990801,0.0003113
div5801926,0.0009339,19970701,0.0009339
div5801927,0.0073014,19980607,0.0073014
div5801930,0.0566,19990227,0.0566
div5801932,0.0009339,19971030,0.0009339
div5801933,0.0283,20000501,0.0283
div5801935,0.0009339,19860501,0.0009339
div5801936,0.007075,19960720,0.007075
div5801937,0.0,19960720,0.0
div5801938,0.000849,19990806,0.000849
div5801939,0.0009339,19950531,0.0009339
div5801940,0.0009339,19950531,0.0009339
div5801942,0.0009339,19330501,0.0009339
div5801943,0.0009339,19330501,0.0009339
div5801944,0.04528,19330501,0.04528
div5801945,0.0003113,19330501,0.0003113
div5801946,0.018395,20001023,0.018395
div5801947,0.0,20000901,0.0
div5801948,0.00283,20000731,0.00283
div5801949,0.00283,20000731,0.00283
div5801950,0.00283,20000731,0.00283
div5801951,0.0009339,20000901,0.0009339
div5801955,0.0006226,20000801,0.0006226
div5801956,0.01415,19750601,0.01415
div5801957,0.01415,19940501,0.01415
div5801958,0.000566,20000731,0.000566
div5801959,0.0009339,19991019,0.0009339
div5801962,0.0,18860502,0.0
div5801963,0.0009339,20010817,0.0009339
div5801967,0.0,18860515,0.0
div5801970,0.06226,19091110,0.06226
div5801971,0.0,18830720,0.0
div5801972,0.0,18880415,0.0
div5801973,0.0,18880415,0.0
div5801974,0.0,19010601,0.0
div5801975,0.0,19010601,0.0
div5801976,0.0,19530515,0.0
div5801977,0.0,18880924,0.0
div5801978,0.0,19500610,0.0
div5801979,0.0,19941230,0.0
div5801980,0.0,19101231,0.0
div5801981,0.01415,18920530,0.01415
div5801982,0.012735,20020531,0.012735
div5801983,0.0,19450714,0.0
div5801984,0.0,19450714,0.0
div5801985,0.0,19020502,0.0
div5801986,0.0,19030512,0.0
div5801987,0.0,18900515,0.0
div5801988,0.0,18900515,0.0
div5801989,0.0,18900515,0.0
div5801990,0.0,18900528,0.0
div5801991,0.0,19770531,0.0
div5801992,0.0,19770531,0.0
div5801993,0.0,19000630,0.0
div5801994,0.0,19000630,0.0
div5801995,0.0,19000630,0.0
div5801996,0.0,19450415,0.0
div5801997,0.07075,18951031,0.07075
div5801998,0.0,18951031,0.0
div5801999,0.0,19001125,0.0
div5802000,0.0,19001125,0.0
div5802002,0.07075,19080623,0.07075
div5802004,0.0283,19740707,0.0283
div5802008,0.0004528,19770624,0.0004528
div5802014,0.000566,19220910,0.000566
div5802015,0.000566,19220910,0.000566
div5802020,0.0,19541024,0.0
div5802023,0.000849,19761230,0.000849
div5802024,0.000849,19761230,0.000849
div5802025,0.000849,19761230,0.000849
div5802026,0.000849,19761230,0.000849
div5802067,5.66e-05,18900701,5.66e-05
div5802068,2.83e-05,18900701,2.83e-05
div5802070,0.000566,18900701,0.000566
div5802071,0.000566,18900701,0.000566
div5802084,0.0009339,19150701,0.0009339
div5802092,0.04245,19390630,0.04245
div5802093,0.07075,19390630,0.07075
div5802094,0.0,19120501,0.0
div5802095,0.007641,19731219,0.007641
div5802096,0.0,19590629,0.0
div5802102,0.4245,19390701,0.4245
div5802103,0.0,18860515,0.0
div5802108,0.0,19640804,0.0
div5802115,0.0,18860515,0.0
div5802116,0.0,18860515,0.0
div5802117,0.30847,18880918,0.30847
div5802119,0.00044148,19750402,0.00044148
div5802120,1.29331,19610930,1.29331
div5802121,0.00283,19730630,0.00283
div5802122,0.0,18950620,0.0
div5802123,0.0,18900501,0.0
div5802125,0.0,19050601,0.0
div5802126,0.0,18880614,0.0
div5802127,0.0,19580602,0.0
div5802130,0.0,19900930,0.0
div5802132,0.0,18890618,0.0
div5802133,0.0,18890618,0.0
div5802134,0.0,19590629,0.0
div5802138,0.0,20011025,0.0
div5802144,0.0009339,19890531,0.0009339
div5802145,0.0,20020327,0.0
div5802147,0.0009339,20010701,0.0009339
div5802149,0.0001981,19800816,0.0001981
div5802150,0.046695,19391005,0.046695
div5802151,0.0,19391005,0.0
div5802152,0.0009339,20020710,0.0009339
div5802153,0.0009339,19790717,0.0009339
div5802154,0.01415,20020710,0.01415
div5802155,0.0006792,19940715,0.0006792
div5802156,0.047261,18900520,0.047261
div5802157,0.0003679,19770915,0.0003679
div5802159,0.0009339,19580930,0.0009339
div5802160,0.020376,18980612,0.020376
div5802162,0.0012735,19770901,0.0012735
div5802168,0.000283,19991018,0.000283
div5802169,0.00015565,20021230,0.00015565
div5802170,0.0,20021230,0.0
div5802171,0.0,20020531,0.0
div5802172,0.0,20020531,0.0
div5802173,0.0,20020531,0.0
div5802174,0.0,20021202,0.0
div5802175,0.07075,19590615,0.07075
div5802177,0.0,18850614,0.0
div5802178,0.0,19480930,0.0
div5802179,0.0849,19500501,0.0849
div5802195,0.000566,18900528,0.000566
div5802196,0.01132,19780616,0.01132
div5802198,0.000849,19771110,0.000849
div5802199,0.0009339,19791010,0.0009339
div5802205,0.0009339,19870921,0.0009339
div5802215,0.0009339,19780615,0.0009339
div5802222,0.0008773,19790626,0.0008773
div5802231,0.000283,19730402,0.000283
div5802233,0.00566,19800306,0.00566
div5802246,0.000566,19790701,0.000566
div5802247,0.01415,19510730,0.01415
div5802249,0.01415,19481215,0.01415
div5802255,0.0004245,19740801,0.0004245
div5802256,0.0009339,19780720,0.0009339
div5802257,0.0009339,19540630,0.0009339
div5802260,0.0009339,19690601,0.0009339
div5802262,0.005094,19310612,0.005094
div5802263,0.0008773,19790731,0.0008773
div5802264,0.0063109,19791018,0.0063109
div5802268,0.04245,19600601,0.04245
div5802269,0.003396,19640601,0.003396
div5802270,0.0009339,19600712,0.0009339
div5802275,0.0009339,19800821,0.0009339
div5802292,0.0009339,19751110,0.0009339
div5802307,0.0006226,19700615,0.0006226
div5802308,0.0009339,19600701,0.0009339
div5802321,0.0003113,19790701,0.0003113
div5802322,0.0003113,19790701,0.0003113
div5802323,0.0018678,19790701,0.0018678
div5802331,0.0009339,19800510,0.0009339
div5802336,0.061128,19990831,0.061128
div5802338,0.0001132,19500601,0.0001132
div5802340,0.0,19540601,0.0
div5802341,0.0283,19540601,0.0283
div5802342,0.0009339,19540601,0.0009339
div5802345,0.0006226,19800907,0.0006226
div5802353,0.0283,19580820,0.0283
div5802357,0.0,19540601,0.0
