,dec_af,dec_cfs,div,lat,long,source,status,strname,strtype,wd,wdid
1357,,0.0,6,40.54459,-106.812836,Gunn Creek,A,GUNN DITCH AP NO. 1,1,58,5802996
1358,,0.0,6,40.544888,-106.814743,Gunn Creek,A,GUNN DITCH AP NO. 2,1,58,5802997
1359,,0.0,6,40.552258,-106.819466,Gunn Creek,A,WILLIAM G HERSOM GUNN DITCH AP NO. 1,1,58,5802998
1360,,0.0,6,40.546234,-106.814064,Gunn Creek,A,WILLIAM G HERSOM GUNN DITCH AP NO. 2,1,58,5802999
1361,,0.0,6,40.112732,-106.888073,Chimney Creek,A,GIBBS PHILLIPS DITCH ALT PT,1,58,5803000
1362,,0.0,6,40.676255,-106.917952,Franz Creek,A,FRANZ CREEK DITCH,1,58,5803002
1363,,0.0,6,40.67868,-106.919434,Franz Creek,A,LOWER FRANZ CREEK DITCH,1,58,5803024
1364,,1.0,6,40.120711,-106.895992,Phillips Creek,A,WETLAND PRESERVE WASTEWA,1,58,5803028
1365,,,6,,,Yampa River,H,RICH DITCH,1,58,5804629
1366,,5.0,6,40.015612,-107.049495,Dome Creek,A,DOME CR DITCH,1,58,5804630
1367,,5.0,6,40.015612,-107.049495,Dome Creek,A,DOME CR DITCH,1,58,5804630
1368,,43.0,6,40.235161,-106.599979,Sarvis Creek,A,SARVIS DITCH,1,58,5804684
1369,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1370,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1371,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1372,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1373,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1374,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1375,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1376,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1377,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1378,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1379,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1380,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1381,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1382,,30.83,6,40.053307,-107.045302,Bear River,A,STILLWATER DITCH,1,58,5804685
1383,,,6,40.451524,-106.661185,Fishhook Creek,N,LOST LAKE DIVERSION,1,58,5804687
