Name,ElementID,DecreedAmount,RequestedAmount,AppropriationDate,ParcelIds
div5800686,9920,0.065939,0.065939,19021112,65801545
div5800687,6683,0.372428,0.372428,18910622,
div5800688,21603,0.162725,0.162725,18960529,65801679
div5800689,17813,0.127916,0.127916,18941002,65800425
div5800691,21984,0.04245,0.04245,18860616,65800317
div5800692,11249,0.0849,0.0849,18941001,65800424
div5800693,19892,0.01698,0.01698,19471022,65801496
div5800694,21152,0.733536,0.733536,18870701,65801624;65801623;65801625;65801627;65801628
div5800695,20959,0.334789,0.334789,19001101,65801517;65801522;65801519;65801518
div5800698,1047,0.07075,0.07075,19010604,65800347
div5800699,14728,0.0283,0.0283,18871013,65800335
div5800703,19063,0.018678,0.018678,19010916,65800562
div5800705,18901,0.00566,0.00566,19050710,65801520
div5800706,21223,0.1132,0.1132,18890201,65801620;65801621
div5800710,3968,0.093673,0.093673,19200601,65800430;65800432
div5800712,2802,0.0283,0.0283,19400701,65800383
div5800714,21394,0.718537,0.718537,18851001,65801578;65801573;65801574;65801569;65801581
div5800717,21152,0.16697,0.16697,19021015,65801617;65801618;65801619
div5800721,21485,0.178856,0.178856,19040601,65800262
div5800722,21974,0.193289,0.193289,18880415,65800297;65800305
div5800723,14617,0.1132,0.1132,18920630,65800397
div5800725,21922,0.1415,0.1415,18850430,65800311
div5800728,21832,0.14716,0.14716,18890501,65801502;65801501
div5800730,21972,0.335072,0.335072,19110719,65800302;65800298;65800304;65800299;65800300
div5800731,11731,0.202062,0.202062,19080810,65800270
div5800732,21567,0.13584,0.13584,18900620,65800265
div5800738,14616,0.292339,0.292339,18890410,65800401;65800405;65800398
div5800741,21897,0.127916,0.127916,19000424,65803153;65800336
div5800743,21729,0.36507,0.36507,19130101,65801535
div5800746,21226,0.38488,0.38488,19130101,65801548;65801547
div5800747,21229,0.0,0.0,19130101,65803143
div5800748,22048,0.046978,0.046978,18840520,65800231;65800232;65800234;65800252
div5800749,21147,0.3113,0.3113,18900420,65800510
div5800751,18590,0.0283,0.0283,19001125,
div5800754,17747,0.0283,0.0283,19060601,65801631
div5800755,18926,0.11886,0.11886,18871031,65801435
div5800756,18790,0.23206,0.23206,18920530,65801434;65801436
div5800759,12261,0.0849,0.0849,18980610,65801674
div5800760,16679,0.07075,0.07075,18990610,65801673
div5800763,14624,0.881262,0.881262,18851020,65800385;65800390;65800380;65800389;65800393;65800391
div5800764,9062,0.075278,0.075278,18900515,
div5800765,1445,0.0283,0.0283,18880601,65800293
div5800766,3285,0.080089,0.080089,19050501,65801564
div5800767,21955,0.1698,0.1698,19090611,65800306
div5800768,12866,0.018678,0.018678,19060930,65801523
div5800770,20091,0.0283,0.0283,18850531,65800276;65800279;65801795
div5800771,20091,0.0,0.0,18850531,65800276;65801795
div5800772,20092,0.04811,0.04811,18850601,65800276;65801795
div5800777,14717,0.229796,0.229796,18830525,65800346
div5800779,17224,0.04245,0.04245,18960529,65801681
div5800781,8964,0.018678,0.018678,19120731,
div5800782,11023,0.1415,0.1415,18860801,65800412
div5800783,21818,0.669578,0.669578,18860614,65801507;65801505;65801503;65801504
div5800784,13700,0.117728,0.117728,19240626,65801646
div5800786,20636,0.037639,0.037639,18910630,65800505
div5800789,21729,0.03396,0.03396,19070601,65801537
div5800790,20261,0.0849,0.0849,19030729,
div5800791,20594,0.18961,0.18961,19030729,
div5800792,20519,0.0283,0.0283,19040501,65801499
div5800794,5210,0.04245,0.04245,19010801,65800511;65801819
div5800798,21930,0.264039,0.264039,18830628,65800318;65800329;65800328;65800334
div5800800,18583,0.051789,0.051789,19001125,
div5800801,21423,0.260077,0.260077,18890413,65800286
div5800802,12521,0.009622,0.009622,19350601,65800438
div5800803,20386,0.04245,0.04245,18981023,
div5800804,21155,0.0566,0.0566,19011010,65801529
div5800805,14913,0.32545,0.32545,18870725,65800498;65801171;65801170;65801173;65801169
div5800807,18561,0.227249,0.227249,18940706,65801431
div5800808,21059,0.469214,0.469214,18890327,65801790;65800253
div5800809,22061,0.16697,0.16697,18850602,65800496
div5800811,13866,0.1415,0.1415,18991005,65801644
div5800812,21608,0.04245,0.04245,19110426,65800284
div5800813,22032,0.1698,0.1698,18910502,65800282;65800281
div5800819,11814,0.046978,0.046978,19020615,65800407
div5800820,11236,0.1132,0.1132,18920718,
div5800821,14723,0.29998,0.29998,18830606,65800339;65803154
div5800825,19035,0.007075,0.007075,18940706,65801432
div5800826,3968,0.22923,0.22923,19200701,65800431
div5800827,12840,0.0283,0.0283,18890512,65800312
div5800828,21940,0.0566,0.0566,18890512,65800313
div5800829,21860,0.106125,0.106125,18860502,65801471;65801468;65801470
div5800830,15181,0.091409,0.091409,18910813,65800535
div5800833,441,0.0283,0.0283,19050714,65801630;65800523
div5800835,13700,0.09905,0.09905,18950625,65801648
div5800837,17030,0.0283,0.0283,19021112,
div5800838,22011,0.018678,0.018678,19010209,65800292
div5800842,14004,0.032828,0.032828,19340403,65801649
div5800843,13665,0.1132,0.1132,19310804,65801177
div5800844,21380,0.162442,0.162442,18890413,65800287
div5800847,19743,0.243946,0.243946,18951101,65801611;65801612
div5800849,21490,0.18395,0.18395,19410601,65801534
